filename,label,R_100,R_150,R_200,G_150,G_200,B_150,B_200
image_00003.jpg,yellow,0.5419921875,0.7646484375,0.9052734375,0.7666015625,0.88671875,0.916015625,0.96875
image_00007.jpg,yellow,0.443359375,0.76171875,0.9453125,0.8466796875,0.9501953125,0.9130859375,0.9638671875
image_00008.jpg,yellow,0.484375,0.8310546875,0.9755859375,0.8154296875,0.9775390625,0.853515625,0.9833984375
image_00011.jpg,yellow,0.576171875,0.7666015625,0.9091796875,0.9033203125,0.990234375,0.943359375,0.9951171875
image_00014.jpg,yellow,0.57421875,0.77734375,0.9716796875,0.76171875,0.98046875,0.84375,0.994140625
image_00016.jpg,yellow,0.478515625,0.6884765625,0.939453125,0.8154296875,1.0,1.0,1.0
image_00022.jpg,yellow,0.1591796875,0.525390625,0.7431640625,0.4892578125,0.7275390625,0.44140625,0.5791015625
image_00028.jpg,yellow,0.203125,0.5859375,0.8212890625,0.619140625,0.8564453125,0.6328125,0.8076171875
image_00030.jpg,yellow,0.6337890625,0.8076171875,0.9755859375,0.8291015625,0.9736328125,0.8408203125,0.9765625
image_00039.jpg,yellow,0.51953125,0.779296875,0.9482421875,0.83984375,0.97265625,0.865234375,0.9677734375
image_00043.jpg,yellow,0.4423828125,0.7177734375,0.880859375,0.73828125,0.921875,0.8505859375,0.939453125
image_00048.jpg,yellow,0.3369140625,0.73046875,0.962890625,0.8447265625,0.978515625,0.943359375,0.9951171875
image_00050.jpg,yellow,0.2958984375,0.71484375,0.912109375,0.7373046875,0.9306640625,0.806640625,0.984375
image_00055.jpg,yellow,0.6591796875,0.75390625,0.888671875,0.8779296875,0.9375,0.76953125,0.8837890625
image_00056.jpg,yellow,0.7099609375,0.8681640625,0.9658203125,0.7939453125,0.9443359375,0.9375,0.970703125
image_00062.jpg,red,0.5302734375,0.814453125,0.9619140625,0.8310546875,0.9677734375,0.81640625,0.9501953125
image_00063.jpg,yellow,0.251953125,0.646484375,0.9296875,0.55078125,0.90234375,0.76171875,0.927734375
image_00073.jpg,yellow,0.75390625,0.9052734375,0.9697265625,0.9130859375,0.9755859375,0.90234375,0.97265625
image_00077.jpg,yellow,0.6240234375,0.8203125,0.9404296875,0.841796875,0.94140625,0.8681640625,0.9462890625
image_00079.jpg,yellow,0.3896484375,0.75,0.955078125,0.7265625,0.96484375,0.9296875,0.9755859375
image_00083.jpg,purple,0.4794921875,0.576171875,0.71875,0.732421875,0.951171875,0.6455078125,0.8759765625
image_00084.jpg,yellow,0.4521484375,0.8037109375,0.9306640625,0.720703125,0.9248046875,0.87109375,0.9287109375
image_00087.jpg,brown,0.32421875,0.736328125,0.9970703125,0.9541015625,1.0,0.9052734375,0.9921875
image_00091.jpg,yellow,0.654296875,0.8525390625,0.982421875,0.8740234375,0.9873046875,0.9580078125,0.9990234375
image_00104.jpg,yellow,0.283203125,0.6474609375,0.9814453125,0.8701171875,0.9990234375,0.95703125,0.998046875
image_00119.jpg,yellow,0.7490234375,0.912109375,0.96484375,0.8740234375,0.96875,0.9453125,0.9775390625
image_00121.jpg,red,0.4384765625,0.76171875,0.9287109375,0.92578125,0.984375,0.8740234375,0.9814453125
image_00137.jpg,yellow,0.630859375,0.8525390625,0.9716796875,0.830078125,0.9609375,0.8193359375,0.91796875
image_00138.jpg,yellow,0.333984375,0.7021484375,0.9765625,0.7548828125,0.9736328125,0.8291015625,0.9833984375
image_00140.jpg,yellow,0.58984375,0.7939453125,0.9501953125,0.794921875,0.9404296875,0.80859375,0.94140625
image_00145.jpg,yellow,0.6279296875,0.8427734375,0.9638671875,0.8623046875,0.9736328125,0.7666015625,0.884765625
image_00149.jpg,yellow,0.2578125,0.732421875,0.95703125,0.8037109375,0.9765625,0.8779296875,0.9892578125
image_00150.jpg,yellow,0.3046875,0.6865234375,0.9169921875,0.705078125,0.92578125,0.763671875,0.9384765625
image_00157.jpg,purple,0.734375,0.818359375,0.9375,0.8759765625,0.97265625,0.82421875,0.935546875
image_00158.jpg,yellow,0.4912109375,0.72265625,0.9013671875,0.755859375,0.9111328125,0.75,0.892578125
image_00159.jpg,yellow,0.6396484375,0.91796875,0.9921875,0.8154296875,0.982421875,0.923828125,0.9814453125
image_00162.jpg,yellow,0.4443359375,0.7470703125,0.9609375,0.7041015625,0.962890625,0.908203125,0.98046875
image_00170.jpg,yellow,0.314453125,0.6591796875,0.9990234375,0.759765625,1.0,0.79296875,0.9990234375
image_00183.jpg,blue,0.103515625,0.91015625,0.978515625,0.3720703125,0.693359375,0.38671875,0.4833984375
image_00184.jpg,yellow,0.3486328125,0.6875,0.955078125,0.8076171875,0.96484375,0.916015625,0.982421875
